"Player","Injury","Game Status","Position","Week","nameConvert","played","Team"
"Butler, Brice","hamstring","Out","WR",11,"Brice Butler","no","DAL"
"McFadden, Darren","groin","Questionable","RB",11,"Darren McFadden","yes","DAL"
"Morris, Alfred","rib","Probable","RB",11,"Alfred Morris","yes","WAS"
"Romo, Tony","fractured left clavicle","Day-to-Day","QB",11,"Tony Romo","yes","DAL"
"Ajayi, Jay","cracked rib","Day-to-Day","RB",11,"Jay Ajayi","yes","MIA"
"Cameron, Jordan","groin","Day-to-Day","TE",11,"Jordan Cameron","yes","MIA"
"Williams, Damien","ankle, hand","Probable","RB",11,"Damien Williams","no","MIA"
"Evans, Mike","hamstring","Day-to-Day","WR",11,"Mike Evans","yes","TB"
"Jackson, Vincent","knee","Questionable","WR",11,"Vincent Jackson","yes","TB"
"Seferian-Jenkins, Austin","shoulder","Questionable","TE",11,"Austin Seferian-Jenkins","no","TB"
"Bradford, Sam","concussion, left shoulder","Out","QB",11,"Sam Bradford","no","PHI"
"Huff, Josh","back","Probable","WR",11,"Josh Huff","yes","PHI"
"Mathews, Ryan","concussion, groin","Out","RB",11,"Ryan Mathews","no","PHI"
"Randle, Rueben","hamstring","Day-to-Day","WR",11,"Rueben Randle","no","NYG"
"Kelce, Travis","groin","Probable","TE",11,"Travis Kelce","yes","KC"
"Maclin, Jeremy","concussion","Day-to-Day","WR",11,"Jeremy Maclin","yes","KC"
"Floyd, Malcom","shoulder","Out","WR",11,"Malcom Floyd","no","SD"
"Gates, Antonio","knee, hip","Questionable","TE",11,"Antonio Gates","yes","SD"
"Abbrederis, Jared","rib, chest","Out","WR",11,"Jared Abbrederis","no","GB"
"Adams, Davante","ankle","Day-to-Day","WR",11,"Davante Adams","yes","GB"
"Jones, James","quadriceps","Probable","WR",11,"James Jones","yes","GB"
"Lacy, Eddie","groin","Probable","RB",11,"Eddie Lacy","yes","GB"
"Montgomery, Ty","ankle","Questionable","WR",11,"Ty Montgomery","no","GB"
"Nelson, Jordy","torn right ACL","Day-to-Day","WR",11,"Jordy Nelson","no",NA
"Quarless, Andrew","sprained MCL","Injured Reserve (DFR)","TE",11,"Andrew Quarless","no","GB"
"Rodgers, Aaron","right shoulder","Probable","QB",11,"Aaron Rodgers","yes","GB"
"Asiata, Matt","quadriceps","Probable","RB",11,"Matt Asiata","yes","MIN"
"Bridgewater, Teddy","left shoulder","Probable","QB",11,"Teddy Bridgewater","yes","MIN"
"Johnson, Charles","ribs","Day-to-Day","WR",11,"Charles Johnson","no","MIN"
"Peterson, Adrian","hamstring","Probable","RB",11,"Adrian Peterson","yes","MIN"
"Thielen, Adam","shoulder","Probable","WR",11,"Adam Thielen","no","MIN"
"Boldin, Anquan","hamstring","Questionable","WR",11,"Anquan Boldin","yes","SF"
"Hyde, Carlos","foot","Out","RB",11,"Carlos Hyde","no","SF"
"Baldwin, Doug","toe","Probable","WR",11,"Doug Baldwin","yes","SEA"
"Lynch, Marshawn","abdomen","Questionable","RB",11,"Marshawn Lynch","no","SEA"
"Richardson, Paul","hamstring","Out","WR",11,"Paul Richardson","no","SEA"
"Willson, Luke","toe","Probable","TE",11,"Luke Willson","yes","SEA"
"Brown, John","hamstring","Questionable","WR",11,"John Brown","yes","ARI"
"Ellington, Andre","knee","Day-to-Day","RB",11,"Andre Ellington","yes","ARI"
"Fells, Darren","shoulder","Day-to-Day","TE",11,"Darren Fells","yes","ARI"
"Fitzgerald, Larry","ankle","Probable","WR",11,"Larry Fitzgerald","yes","ARI"
"Floyd, Michael","hamstring","Questionable","WR",11,"Michael Floyd","no","ARI"
"Momah, Ifeanyi","knee","Day-to-Day","TE",11,"Ifeanyi Momah","no",NA
"Hankerson, Leonard","hamstring","Day-to-Day","WR",11,"Leonard Hankerson","yes","ATL"
"McCoy, LeSean","hamstring","Day-to-Day","RB",11,"LeSean McCoy","yes","BUF"
"Watkins, Sammy","ankle","Day-to-Day","WR",11,"Sammy Watkins","yes","BUF"
"Williams, Karlos","concussion","Day-to-Day","RB",11,"Karlos Williams","yes","BUF"
"Dobson, Aaron","back","Questionable","WR",11,"Aaron Dobson","yes","NE"
"Edelman, Julian","foot","Out","WR",11,"Julian Edelman","no","NE"
"Martin, Keshawn","hamstring","Questionable","WR",11,"Keshawn Martin","no","NE"
